Estado,Edu_2000_Total,Edu_2000_H,Edu_2000_M,Edu_2010_Total,Edu_2010_H,Edu_2010_M,Edu_2015_Total,Edu_2015_H,Edu_2015_M,Edu_2020_Total,Edu_2020_H,Edu_2020_M,PIB_2010,PIB_2015,PIB_2020
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32,152205.212,198220.641,204820.38299999997
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32,1.060486085735,1.195582947452,1.256834567089
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32,88.071276223836,114.697418027819,118.51626032008
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32,6.248529403521,4.062191694705,-7.92573039513
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32,0.065584014282,0.048158978112,-0.099800910664
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32,138350.48,215416.925,306745.08499999996
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32,1.078821690858,1.231023199906,1.396926854283
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32,90.8973340545,108.675324584386,149.762968170995
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32,3.099572475671,6.059781451955,9.181293600985
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18,428162.546,511459.52799999993,554008.043
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18,2.983212049701,3.084907237226,3.39954670863
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18,91.974185386664,109.867324653958,119.007229680909
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18,5.007185994157,6.972612273288,-3.706451725113
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18,0.149588069935,0.207489024819,-0.120708414425
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18,393693.17499999993,580277.4240000001,804612.155
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18,3.069918779702,3.316057785736,3.664229295155
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18,91.949466079642,113.455198746439,145.2347425577
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18,1.351894069809,8.079056510145,3.555280708918
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40,110656.4,130520.64199999998,121901.97099999999
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40,0.770995756029,0.787245228743,0.74802423814
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40,96.199831755226,113.468934476307,105.976239068236
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40,2.139204758302,12.491593983739,-23.309746942677
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40,0.016980481538,0.090206520629,-0.209733803655
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40,100789.574,142277.939,171019.288
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40,0.785931343668,0.813062593591,0.77882726632
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40,91.083366167705,109.007998137184,140.292471563073
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40,2.603839161484,5.739878440113,2.538036240305
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52,753968.591,637604.643,481969.908
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52,5.253257686317,3.845761140419,2.957500771157
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52,104.560284172743,88.422944215113,66.839535684572
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52,-3.43113456305,-7.052178990251,-6.831390264107
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52,-0.196276116727,-0.30109013463,-0.200041325119
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52,620535.423,436081.49399999995,457688.659
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52,4.838776665453,2.492034626173,2.084328681771
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52,82.302556155154,68.393713688813,94.962081948071
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52,18.488225844897,-32.656836248202,-21.300439839956
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36,489951.7759999999,563928.44,535908.391
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36,3.413726995952,3.401377490486,3.288482233734
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36,91.034079421938,104.779100535906,99.572915986689
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36,16.287635815759,0.842478985977,-11.253703555645
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36,0.502795551098,0.029322466759,-0.384676899793
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36,433984.977,627666.568,793706.6350000001
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36,3.384103956084,3.586868148885,3.614565210895
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36,88.577080083898,111.302520582221,148.104909034723
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36,3.27821304999,7.35090430894,5.347454634929
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10,81992.17799999999,95878.066,101198.82499999998
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10,0.571278491489,0.578295883647,0.620984003378
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10,89.684953299106,104.87366089505,110.693630971107
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10,7.253764377627,2.320952383534,-7.241266214681
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10,0.040629072153,0.013535735625,-0.044719350777
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10,72901.369,101924.98,139876.69900000002
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10,0.568466247247,0.58246126682,0.637002927436
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10,88.912589930225,106.3068794066,138.219686839249
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10,3.2807219776,3.114832502117,2.726031962922
Chiapas,5.35,5.86,4.86,6.67,7.08,6.28,7.29,7.69,6.92,7.78,8.09,7.50,270989.331,287811.83099999995,254446.97599999997
Chiapas,5.35,5.86,4.86,6.67,7.08,6.28,7.29,7.69,6.92,7.78,8.09,7.50,1.888111524775,1.735959057959,1.561357079037
Chiapas,5.35,5.86,4.86,6.67,7.08,6.28,7.29,7.69,6.92,7.78,8.09,7.50,96.463137013664,102.45138428681,90.574611989431
Chiapas,5.35,5.86,4.86,6.67,7.08,6.28,7.29,7.69,6.92,7.78,8.09,7.50,5.567222513091,-2.114529692998,-2.765750190584
Chiapas,5.35,5.86,4.86,6.67,7.08,6.28,7.29,7.69,6.92,7.78,8.09,7.50,0.104706889473,-0.038695916751,-0.040968616156
Chiapas,5.35,5.86,4.86,6.67,7.08,6.28,7.29,7.69,6.92,7.78,8.09,7.50,240499.032,302308.11400000006,340920.211
Chiapas,5.35,5.86,4.86,6.67,7.08,6.28,7.29,7.69,6.92,7.78,8.09,7.50,1.875349997716,1.727572250202,1.552561462928
