Instituto Nacional de Estadística y Geografía (INEGI),,,,,,,,,,,,
"Grado promedio de escolaridad de la población de 15 y más años por entidad federativa según sexo, años censales seleccionados 2000 a 2020",,,,,,,,,,,,
,,,,,,,,,,,,
Fecha de consulta: 22/04/2026 16:35:48,,,,,,,,,,,,
,,,,,,,,,,,,
Entidad federativa,2000,2000,2000,2010,2010,2010,2015,2015,2015,2020,2020,2020
Entidad federativa,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres
Estados Unidos Mexicanos,7.45,7.72,7.21,8.63,8.79,8.48,9.16,9.33,9.01,9.74,9.84,9.64
Aguascalientes,8.00,8.20,7.83,9.23,9.30,9.17,9.73,9.82,9.64,10.35,10.38,10.32
Baja California,8.17,8.28,8.05,9.26,9.33,9.20,9.76,9.84,9.68,10.20,10.22,10.18
Baja California Sur,8.29,8.35,8.23,9.40,9.37,9.42,9.91,9.92,9.89,10.34,10.28,10.40
Campeche,7.01,7.32,6.71,8.51,8.71,8.32,9.14,9.35,8.94,9.63,9.74,9.52
Coahuila de Zaragoza,8.39,8.54,8.24,9.47,9.57,9.37,9.90,10.02,9.78,10.43,10.51,10.36
Colima,7.65,7.76,7.55,8.95,8.95,8.95,9.53,9.54,9.52,10.05,9.99,10.10
Chiapas,5.35,5.86,4.86,6.67,7.08,6.28,7.29,7.69,6.92,7.78,8.09,7.50
Chihuahua,7.69,7.72,7.66,8.82,8.82,8.83,9.47,9.48,9.45,10.00,9.98,10.02
Ciudad de México,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85
México,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93
Michoacán de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89
Nuevo León,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60
Oaxaca,5.62,6.06,5.23,6.94,7.28,6.64,7.52,7.83,7.25,8.12,8.35,7.92
Puebla,6.70,7.05,6.39,7.95,8.19,7.75,8.49,8.74,8.28,9.16,9.31,9.02
Querétaro,7.55,7.90,7.23,8.92,9.14,8.73,9.55,9.78,9.35,10.48,10.64,10.34
Quintana Roo,7.78,8.09,7.45,9.12,9.30,8.92,9.62,9.79,9.44,10.24,10.36,10.12
San Luis Potosí,6.89,7.01,6.78,8.26,8.27,8.24,8.82,8.79,8.85,9.61,9.58,9.64
Sinaloa,7.64,7.64,7.64,9.08,9.03,9.14,9.58,9.56,9.61,10.22,10.11,10.33
Sonora,8.18,8.19,8.16,9.42,9.39,9.44,10.00,10.00,10.01,10.40,10.35,10.45
Tabasco,7.16,7.51,6.82,8.64,8.88,8.41,9.31,9.53,9.11,9.69,9.87,9.53
Tamaulipas,8.04,8.19,7.89,9.12,9.20,9.05,9.51,9.61,9.41,10.09,10.13,10.06
Tlaxcala,7.63,7.92,7.37,8.78,8.95,8.62,9.27,9.42,9.14,9.83,9.92,9.75
Veracruz de Ignacio de la Llave,6.42,6.70,6.17,7.67,7.85,7.51,8.20,8.39,8.04,8.75,8.86,8.64
Yucatán,6.84,7.15,6.54,8.22,8.41,8.03,8.82,9.03,8.63,9.59,9.72,9.48
Zacatecas,6.46,6.50,6.42,7.90,7.76,8.03,8.63,8.47,8.77,9.25,9.08,9.40
,,,,,,,,,,,,
,,,,,,,,,,,,
Definición:,,,,,,,,,,,,
"Número de años que, en promedio, aprobaron las personas de 15 años y más, en el Sistema Educativo Nacional. Resulta de dividir la suma de los años aprobados desde el primero de primaria hasta el último grado alcanzado de las personas de 15 años y más entre el total de la población de 15 años y más.",,,,,,,,,,,,
Notas:,,,,,,,,,,,,
"Para 2000, la información está referida al 14 de febrero. Para el cálculo se excluye a la población con grados no especificados en algún nivel y a la población con nivel de escolaridad no especificado.",,,,,,,,,,,,
"Para 2010, la información está referida al 12 de junio. Para el cálculo se excluye a la población con nivel de escolaridad no especificado.",,,,,,,,,,,,
"Para 2015, la información está referida al 15 de marzo. Para el cálculo se excluye a la población con nivel de escolaridad no especificado.",,,,,,,,,,,,
"Para 2020, la información está referida al 15 de marzo. Para el cálculo se excluye a la población con nivel de escolaridad no especificado.",,,,,,,,,,,,
Fuentes:,,,,,,,,,,,,
INEGI. XII Censo General de Población y Vivienda 2000.,,,,,,,,,,,,
INEGI. Censo de Población y Vivienda 2010.,,,,,,,,,,,,
INEGI. Encuesta Intercensal 2015.,,,,,,,,,,,,
INEGI. Censo de Población y Vivienda 2020.,,,,,,,,,,,,
,,,,,,,,,,,,
